"NMFS_POPID","SPAWNINGYEAR","NOSAIJ","NOSAEJ","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","ext_datasource","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
101,1969,1405,1324,0,0,0.058,0.058,1405,1324,0,0.058,0.561,0.381,0,0,"SPS",1792,1878,2149,2231,1792,1878,2149,2231
101,1970,1824,1525,0,0,0.164,0.164,1824,1525,0,0.164,0.498,0.338,0,0,"SPS",1744,1999,2099,2303,1744,1999,2099,2303
101,1971,1535,1259,0,0,0.18,0.18,1535,1259,0,0.18,0.488,0.332,0,0,"SPS",1873,1565,2282,1824,1873,1565,2282,1824
101,1972,1644,1570,0,0,0.045,0.045,1644,1570,0,0.045,0.568,0.386,0,0,"SPS",1790,1468,2162,1662,1790,1468,2162,1662
101,1973,2415,2152,0,0,0.109,0.109,2415,2152,0,0.109,0.53,0.361,0,0,"SPS",1890,1537,2194,1733,1890,1537,2194,1733
101,1974,1193,1163,0,0,0.025,0.025,1193,1163,0,0.025,0.58,0.395,0,0,"SPS",1677,1498,1934,1677,1677,1498,1934,1677
101,1975,2108,1986,0,0,0.058,0.058,2108,1986,0,0.058,0.561,0.382,0,0,"SPS",1777,1579,1994,1726,1777,1579,1994,1726
101,1976,713,390,0,0,0.453,0.453,713,390,0,0.453,0.326,0.222,0,0,"SPS",1398,1249,1643,1481,1398,1249,1643,1481
101,1977,2286,2119,0,0,0.073,0.073,2286,2119,0,0.073,0.552,0.375,0,0,"SPS",1395,1327,1621,1582,1395,1327,1621,1582
101,1978,2734,2671,0,0,0.023,0.023,2734,2671,0,0.023,0.581,0.395,0,0,"SPS",1459,1385,1676,1621,1459,1385,1676,1621
101,1979,637,561,0.04,0.04,0.12,0.12,664,584,0,0.12,0.524,0.356,0,0,"SPS",1339,1197,1549,1430,1345,1207,1555,1442
101,1980,586,466,0.0600000000000001,0.0600000000000001,0.205,0.205,623,495,0,0.205,0.473,0.322,0,0,"SPS",1189,896,1382,1107,1201,914,1397,1130
101,1981,495,468,0.17,0.17,0.053,0.053,596,564,0,0.053,0.564,0.383,0,0,"SPS",1077,929,1235,1029,1109,984,1271,1090
101,1982,613,579,0.2,0.2,0.055,0.055,766,724,0,0.055,0.563,0.383,0,0,"SPS",975,717,1119,791,1026,794,1177,876
101,1983,864,820,0.18,0.18,0.051,0.051,1054,1000,0,0.051,0.565,0.384,0,0,"SPS",885,566,1009,628,950,652,1084,724
101,1984,1053,984,0.11,0.11,0.065,0.065,1183,1106,0,0.065,0.838,0.097,0,0,"SPS",871,633,997,695,946,741,1083,813
