"NMFS_POPID","SPAWNINGYEAR","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
6,1980,NA,NA,NA,NA,344,306,NA,NA
6,1981,NA,NA,NA,NA,279,226,NA,NA
6,1982,NA,NA,NA,NA,235,191,NA,NA
6,1983,NA,NA,NA,NA,219,166,NA,NA
6,1984,NA,NA,NA,NA,254,191,NA,NA
6,1985,NA,NA,NA,NA,267,233,NA,NA
6,1986,NA,NA,NA,NA,260,298,NA,NA
6,1987,NA,NA,NA,NA,263,362,NA,NA
6,1988,NA,NA,NA,NA,323,627,NA,NA
6,1989,NA,NA,NA,NA,395,816,NA,NA
6,1990,NA,NA,NA,NA,459,902,NA,NA
6,1991,NA,NA,NA,NA,511,875,NA,NA
6,1992,NA,NA,NA,NA,633,1106,NA,NA
6,1993,NA,NA,NA,NA,772,952,NA,NA
6,1994,NA,NA,NA,NA,846,877,NA,NA
6,1995,NA,NA,NA,NA,937,974,NA,NA
6,1996,NA,NA,NA,NA,1118,1428,NA,NA
6,1997,NA,NA,NA,NA,1184,1268,NA,NA
6,1998,NA,NA,NA,NA,1035,1126,NA,NA
6,1999,NA,NA,NA,NA,835,796,NA,NA
6,2000,NA,NA,NA,NA,754,583,NA,NA
6,2001,NA,NA,NA,NA,821,472,NA,NA
6,2002,NA,NA,NA,NA,793,496,NA,NA
6,2003,NA,NA,NA,NA,810,583,NA,NA
6,2004,NA,NA,NA,NA,801,805,NA,NA
6,2005,NA,NA,NA,NA,764,999,NA,NA
6,2006,NA,NA,NA,NA,664,932,NA,NA
6,2007,NA,NA,NA,NA,600,726,NA,NA
6,2008,NA,NA,NA,NA,591,599,NA,NA
6,2009,NA,NA,NA,NA,651,526,NA,NA
6,2010,NA,NA,NA,NA,698,488,NA,NA
6,2011,NA,NA,NA,NA,689,510,NA,NA
6,2012,NA,NA,NA,NA,655,591,NA,NA
6,2013,NA,657,NA,NA,705,830,NA,NA
6,2014,NA,682,NA,NA,665,840,NA,NA
6,2015,766,866,NA,NA,698,999,NA,NA
6,2016,700,797,NA,NA,681,909,NA,NA
6,2017,703,871,NA,NA,768,998,NA,NA
6,2018,703,752,NA,NA,820,808,NA,NA
7,1967,NA,NA,NA,NA,NA,2921,NA,NA
7,1968,NA,NA,NA,NA,NA,3045,NA,NA
7,1969,NA,NA,NA,NA,3033,3035,NA,NA
7,1970,NA,NA,NA,NA,3054,3176,NA,NA
7,1971,NA,NA,NA,NA,3081,3236,NA,NA
7,1972,NA,NA,NA,NA,3057,3170,NA,NA
7,1973,NA,NA,NA,NA,3085,3126,NA,NA
7,1974,NA,NA,NA,NA,3095,3157,NA,NA
7,1975,NA,NA,NA,NA,3341,3515,NA,NA
7,1976,NA,NA,NA,NA,3267,3298,NA,NA
7,1977,NA,NA,NA,NA,3251,3334,NA,NA
7,1978,NA,NA,NA,NA,3364,3620,NA,NA
7,1979,NA,NA,NA,NA,3264,3376,NA,NA
7,1980,NA,NA,NA,NA,2528,1818,NA,NA
7,1981,NA,NA,NA,NA,2100,1338,NA,NA
7,1982,NA,NA,NA,NA,1948,1138,NA,NA
7,1983,NA,NA,NA,NA,1901,999,NA,NA
7,1984,NA,NA,NA,NA,1822,983,NA,NA
7,1985,NA,NA,NA,NA,1837,1856,NA,NA
7,1986,NA,NA,NA,NA,1695,2146,NA,NA
7,1987,NA,NA,NA,NA,1678,2472,NA,NA
7,1988,NA,NA,NA,NA,1558,2430,NA,NA
7,1989,NA,NA,NA,NA,1452,2146,NA,NA
7,1990,NA,NA,NA,NA,1584,1352,NA,NA
7,1991,NA,NA,NA,NA,1561,1135,NA,NA
7,1992,NA,NA,NA,NA,1379,770,NA,NA
7,1993,NA,NA,NA,NA,1145,539,NA,NA
7,1994,NA,NA,NA,NA,1067,530,NA,NA
7,1995,NA,NA,NA,NA,796,469,NA,NA
7,1996,NA,NA,NA,NA,745,488,NA,NA
7,1997,NA,NA,NA,NA,726,685,NA,NA
7,1998,NA,NA,NA,NA,600,668,NA,NA
7,1999,NA,NA,NA,NA,592,661,NA,NA
7,2000,NA,NA,NA,NA,515,567,NA,NA
