"HUC12","HUC_12_NAME","HUC10","HUC_10_NAME","HUC8","HUC_8_NAME","Latitude","Longitude"
"170701031305","Hermiston Ditch-Umatilla River",1707010313,"Hunt Ditch-Umatilla River",17070103,"Umatilla",45.8421,-119.2446
"170701031306","Umatilla River",1707010313,"Hunt Ditch-Umatilla River",17070103,"Umatilla",45.84157,-119.3293
"170701040101","Headwaters Willow Creek",1707010401,"Upper Willow Creek",17070104,"Willow",45.23453,-119.3249
"170701040103","Balm Fork",1707010401,"Upper Willow Creek",17070104,"Willow",45.28532,-119.4837
"170701040104","Hinton Creek",1707010401,"Upper Willow Creek",17070104,"Willow",45.34566,-119.3935
"170701040105","Shobe Creek-Willow Creek",1707010401,"Upper Willow Creek",17070104,"Willow",45.33064,-119.4959
"170701040202","Sourdough Creek-Willow Creek",1707010402,"Middle Willow Creek",17070104,"Willow",45.39684,-119.6076
"170701040203","Clarks Canyon",1707010402,"Middle Willow Creek",17070104,"Willow",45.34402,-119.6587
"170701040204","McMillian Canyon-Willow Creek",1707010402,"Middle Willow Creek",17070104,"Willow",45.45033,-119.7295
"170701040302","Thorn Creek-Rhea Creek",1707010403,"Rhea Creek",17070104,"Willow",45.17417,-119.4936
"170701040303","Balm Canyon",1707010403,"Rhea Creek",17070104,"Willow",45.15903,-119.5703
"170701040304","Spring Hollow Creek-Rhea Creek",1707010403,"Rhea Creek",17070104,"Willow",45.24162,-119.5928
"170701040306","Keck Canyon-Rhea Creek",1707010403,"Rhea Creek",17070104,"Willow",45.31302,-119.7345
"170701040307","Brenner Canyon-Rhea Creek",1707010403,"Rhea Creek",17070104,"Willow",45.41877,-119.8046
"170701040401","Huston Canyon-Eightmile Canyon",1707010404,"Eightmile Canyon",17070104,"Willow",45.30249,-119.8138
"170701040403","Youngs Canyon-Eightmile Canyon",1707010404,"Eightmile Canyon",17070104,"Willow",45.39168,-119.9588
"170701040405","Bunker Hill-Eightmile Canyon",1707010404,"Eightmile Canyon",17070104,"Willow",45.47375,-120.0415
"170701040406","Cow Canyon-Eightmile Canyon",1707010404,"Eightmile Canyon",17070104,"Willow",45.55837,-120.1053
"170701040408","Horn Butte-Eightmile Canyon",1707010404,"Eightmile Canyon",17070104,"Willow",45.67106,-120.074
"170701040501","Ely Canyon-Willow Creek",1707010405,"Lower Willow Creek",17070104,"Willow",45.50337,-119.8806
