"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
48,"1198933480501","Chinook","Spring","Rearing and migration","1702000807","170200080702",46,34
48,"1198933480501","Chinook","Spring","Rearing and migration","1702000807","170200080706",46,52
48,"1198933480501","Chinook","Spring","Rearing and migration","1702001002","170200100205",45,5
48,"1198933480501","Chinook","Spring","Rearing and migration","1702001002","170200100207",45,2
49,"1171053463261","Steelhead","Summer","Spawning and rearing","1706010302","170601030206",90,23
49,"1171053463261","Steelhead","Summer","Spawning and rearing","1706010302","170601030208",90,65
49,"1171053463261","Steelhead","Summer","Spawning and rearing","1706010302","170601030209",90,1
49,"1181740465575","Chinook","Spring","Migration only","1702000601","170200060108",398,1
49,"1181740465575","Chinook","Spring","Migration only","1706010707","170601070704",15,3
50,"1170448461697","Steelhead","Summer","Migration only","1706010303","170601030304",90,8
51,"1170059460526","Steelhead","Summer","Migration only","1706010605","170601060504",85,41
51,"1170059460526","Steelhead","Summer","Migration only","1706010605","170601060508",85,28
51,"1170059460526","Steelhead","Summer","Migration only","1706010606","170601060601",85,36
51,"1170059460526","Steelhead","Summer","Migration only","1706010606","170601060602",85,60
51,"1170059460526","Steelhead","Summer","Migration only","1706010606","170601060607",85,23
52,"1172431461689","Steelhead","Summer","Rearing and migration","1706010302","170601030206",90,1
52,"1181740465575","Chinook","Spring","Spawning and rearing","1706010707","170601070701",15,16
52,"1181740465575","Chinook","Spring","Spawning and rearing","1706010707","170601070703",15,18
52,"1181740465575","Chinook","Spring","Spawning and rearing","1706010707","170601070704",15,17
53,"1170227457043","Steelhead","Summer","Migration only","1706010604","170601060405",85,5
53,"1186823460337","Chinook","Spring","Migration only","1702001002","170200100205",45,1
54,"1169845460718","Steelhead","Summer","Migration only","1706010601","170601060102",83,40
54,"1169845460718","Steelhead","Summer","Migration only","1706010601","170601060105",83,27
54,"1196766462331","Chinook","Spring","Spawning and rearing","1702000806","170200080605",46,2
55,"1169884462992","Steelhead","Summer","Migration only","1706010303","170601030304",90,2
55,"1192769465271","Chinook","Spring","Migration only","1702001107","170200110708",47,2
56,"1170832457592","Steelhead","Summer","Migration only","1706010604","170601060407",85,2
56,"1184778460386","Chinook","Spring","Spawning and rearing","1702001002","170200100204",45,4
57,"1172431461689","Steelhead","Summer","Migration only","1706010302","170601030206",90,6
58,"1172530460346","Steelhead","Summer","Spawning and rearing","1706010607","170601060707",83,12
58,"1190296461886","Chinook","Spring","Migration only","1702000602","170200060211",398,3
59,"1171685460217","Steelhead","Summer","Migration only","1706010607","170601060710",83,3
60,"1172530460346","Steelhead","Summer","Migration only","1706010607","170601060707",83,3
60,"1180156465052","Chinook","Spring","Spawning and rearing","1702001107","170200110706",47,3
60,"1180156465052","Chinook","Spring","Spawning and rearing","1706010707","170601070701",15,2
61,"1171097463177","Steelhead","Summer","Spawning and rearing","1706010302","170601030208",90,1
61,"1179821465046","Chinook","Spring","Spawning and rearing","1702000605","170200060504",398,1
62,"1172368460606","Steelhead","Summer","Migration only","1706010607","170601060708",83,4
62,"1180008465082","Chinook","Spring","Spawning and rearing","1702000604","170200060411",398,2
62,"1180008465082","Chinook","Spring","Spawning and rearing","1706010707","170601070701",15,1
63,"1172087461285","Steelhead","Summer","Migration only","1706010302","170601030206",90,2
63,"1193343462992","Chinook","Spring","Rearing and migration","1702001107","170200110703",47,2
64,"1170059460526","Steelhead","Summer","Migration only","1706010606","170601060607",85,38
64,"1170059460526","Steelhead","Summer","Migration only","1706010607","170601060711",83,1
64,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110701",47,86
64,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110703",47,49
64,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110706",47,38
64,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110707",47,35
64,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110708",47,48
65,"1171526457055","Steelhead","Summer","Migration only","1706010605","170601060502",85,46
65,"1171526457055","Steelhead","Summer","Migration only","1706010605","170601060503",85,1
65,"1198933480501","Chinook","Spring","Rearing and migration","1702000807","170200080706",46,4
65,"1198933480501","Chinook","Spring","Rearing and migration","1702000807","170200080709",46,42
65,"1198933480501","Chinook","Spring","Rearing and migration","1702001104","170200110406",47,14
65,"1198933480501","Chinook","Spring","Rearing and migration","1702001107","170200110703",47,1
66,"1172777462887","Steelhead","Summer","Spawning and rearing","1706010302","170601030204",90,45
